episode,return,steps
356,-236.0,200
357,-1.0,22
358,-121.0,115
359,-22.0,34
360,-118.0,121
361,-211.0,169
362,3.0,9
363,-82.0,85
364,-299.0,200
365,-244.0,193
366,-15.0,27
367,-178.0,136
368,-60.0,54
369,-67.0,79
370,-56.0,50
371,-105.0,72
372,4.0,8
373,-87.0,81
374,-344.0,200
375,-29.0,32
376,9.0,12
377,-226.0,184
378,-79.0,55
379,-56.0,59
380,-166.0,133
381,-143.0,101
382,-69.0,63
383,-228.0,177
384,-60.0,72
385,-137.0,104
386,-263.0,200
387,-191.0,149
388,-27.0,30
389,-263.0,200
390,-67.0,79
391,-51.0,63
392,-190.0,175
393,-200.0,176
394,-53.0,56
395,-191.0,140
396,-17.0,20
397,-83.0,86
398,-73.0,76
399,-85.0,70
400,14.0,7
401,-11.0,23
402,-40.0,52
403,-7.0,28
404,-84.0,69
405,-209.0,167
406,-136.0,130
407,-140.0,107
408,-54.0,66
409,-107.0,83
410,-125.0,110
411,7.0,14
412,-272.0,200
413,-73.0,76
414,-32.0,35
415,-10.0,22
416,-71.0,83
417,-210.0,186
418,-216.0,147
419,-69.0,72
420,-263.0,200
421,-210.0,150
422,-14.0,35
423,-137.0,113
424,-107.0,74
425,-73.0,67
426,-122.0,134
427,11.0,10
428,-65.0,50
429,1.0,20
430,-82.0,58
431,-40.0,43
432,-9.0,30
433,9.0,12
434,-35.0,56
435,-158.0,143
436,-76.0,79
437,-126.0,111
438,-105.0,81
439,-103.0,97
440,-97.0,82
441,-109.0,103
442,-254.0,200
443,-255.0,195
444,-105.0,81
445,-27.0,48
446,-134.0,128
447,-227.0,200
448,-147.0,114
449,-9.0,30
450,-99.0,84
451,-308.0,200
452,-290.0,194
453,-14.0,35
454,-165.0,132
455,-123.0,117
456,-90.0,102
457,-45.0,48
458,-87.0,72
459,-135.0,138
460,1.0,11
461,-16.0,28
462,-101.0,77
463,-51.0,54
464,-114.0,90
465,-35.0,47
466,-116.0,119
467,-11.0,32
468,12.0,9
469,-60.0,63
470,-263.0,200
471,14.0,7
472,-51.0,63
473,-55.0,76
474,-97.0,64
475,-23.0,44
476,-46.0,49
477,-62.0,56
478,-160.0,163
479,-49.0,70
480,-28.0,22
481,-123.0,99
482,9.0,12
483,-116.0,92
484,-54.0,57
485,-2.0,14
486,-56.0,68
487,-202.0,151
488,-94.0,88
489,8.0,13
490,-168.0,135
491,-37.0,31
492,-89.0,83
493,-36.0,39
494,-173.0,140
495,12.0,9
496,-28.0,22
497,-57.0,60
498,-64.0,67
499,-21.0,42
500,-122.0,98
501,-8.0,29
502,-73.0,58
503,-56.0,59
504,-138.0,96
505,-63.0,57
506,-45.0,48
507,7.0,14
508,-99.0,93
509,-126.0,120
510,-88.0,91
511,-299.0,200
512,-126.0,111
513,-3.0,15
514,-135.0,111
515,-31.0,34
516,-48.0,51
517,-101.0,95
518,-8.0,20
519,-73.0,76
520,-16.0,28
521,-87.0,81
522,-49.0,61
523,-9.0,30
524,-179.0,119
525,-95.0,71
526,-72.0,75
527,9.0,12
528,-37.0,31
529,-126.0,93
530,-81.0,84
531,5.0,16
532,-83.0,95
533,-58.0,52
534,-35.0,38
535,-205.0,154
536,-40.0,61
537,-68.0,71
538,-107.0,92
539,13.0,8
540,-175.0,151
541,-123.0,117
542,-18.0,30
543,-221.0,179
544,-24.0,36
545,13.0,8
546,-14.0,26
547,-7.0,19
548,-124.0,100
549,9.0,12
550,-61.0,64
551,-105.0,108
552,-141.0,126
553,-192.0,114
554,-229.0,169
555,-108.0,111
556,13.0,8
557,-16.0,28
558,-243.0,192
559,-49.0,70
560,-1.0,22
561,-120.0,87
562,-69.0,63
563,-36.0,48
564,-28.0,49
565,-86.0,71
566,11.0,10
567,-2.0,23
568,-110.0,104
569,-167.0,116
570,-54.0,75
571,-57.0,69
572,-166.0,124
573,-56.0,68
574,11.0,10
575,6.0,15
576,-93.0,87
