episode,return,steps
355,-290.0,200
356,-308.0,200
357,-281.0,200
358,-281.0,200
359,-326.0,200
360,-281.0,200
361,-299.0,200
362,-254.0,200
363,-281.0,200
364,-299.0,200
365,-263.0,200
366,-290.0,200
367,-281.0,200
368,-245.0,200
369,-290.0,200
370,-232.0,145
371,-97.0,109
372,-263.0,200
373,-290.0,200
374,-317.0,200
375,-222.0,171
376,-263.0,200
377,-281.0,200
378,-281.0,200
379,-272.0,200
380,-281.0,200
381,-299.0,200
382,-254.0,200
383,-290.0,200
384,-218.0,200
385,-317.0,200
386,-254.0,200
387,-335.0,200
388,-299.0,200
389,-281.0,200
390,-21.0,42
391,-299.0,200
392,-299.0,200
393,-290.0,200
394,-335.0,200
395,-201.0,177
396,-263.0,200
397,-272.0,200
398,-281.0,200
399,-263.0,200
400,-281.0,200
401,-272.0,200
402,-272.0,200
403,-308.0,200
404,-227.0,200
405,-335.0,200
406,-290.0,200
407,-281.0,200
408,-317.0,200
409,-317.0,200
410,-299.0,200
411,-263.0,200
412,-308.0,200
413,-254.0,200
414,-299.0,200
415,-245.0,200
416,-272.0,200
417,-290.0,200
418,-281.0,200
419,-92.0,68
420,-254.0,200
421,-272.0,200
422,-281.0,200
423,-290.0,200
424,-290.0,200
425,-263.0,200
426,-281.0,200
427,-254.0,200
428,-263.0,200
429,-97.0,100
430,-290.0,200
431,-299.0,200
432,-188.0,137
433,-290.0,200
434,-299.0,200
435,-281.0,200
436,-290.0,200
437,-326.0,200
438,-272.0,200
439,-317.0,200
440,-281.0,200
441,-150.0,126
442,-290.0,200
443,-281.0,200
444,-281.0,200
445,-263.0,200
446,-254.0,200
447,-317.0,200
448,-272.0,200
449,-290.0,200
450,-258.0,162
451,-263.0,200
452,-317.0,200
453,-290.0,200
454,-317.0,200
455,-308.0,200
456,-281.0,200
457,-42.0,45
458,-236.0,200
459,-299.0,200
460,-26.0,38
461,-245.0,200
462,-254.0,200
463,-272.0,200
464,-335.0,200
465,-236.0,200
466,-317.0,200
467,-308.0,200
468,-281.0,200
469,-245.0,200
470,-263.0,200
471,-299.0,200
472,-281.0,200
473,-335.0,200
474,-317.0,200
475,-281.0,200
476,-143.0,101
477,-263.0,200
478,-281.0,200
479,-236.0,200
480,-254.0,200
481,-308.0,200
482,-299.0,200
483,-326.0,200
484,-236.0,200
485,-230.0,179
486,-326.0,200
487,-124.0,100
488,-263.0,200
489,-272.0,200
490,-308.0,200
491,-308.0,200
492,-281.0,200
493,-317.0,200
494,-362.0,200
495,-290.0,200
496,-299.0,200
497,-263.0,200
498,-281.0,200
499,-272.0,200
500,-263.0,200
501,-191.0,167
502,-272.0,200
503,-308.0,200
504,-335.0,200
505,-290.0,200
506,-326.0,200
507,-71.0,65
508,-245.0,200
509,-281.0,200
510,-20.0,32
511,-272.0,200
512,-254.0,200
513,-281.0,200
514,-263.0,200
515,-245.0,200
516,-335.0,200
517,-223.0,190
518,-130.0,115
519,-299.0,200
520,-326.0,200
521,-263.0,200
522,-254.0,200
523,-317.0,200
524,-290.0,200
525,-299.0,200
526,-290.0,200
527,-353.0,200
528,-317.0,200
529,-326.0,200
530,-317.0,200
531,-218.0,200
532,-281.0,200
533,-371.0,200
534,-299.0,200
535,-281.0,200
536,-281.0,200
537,-290.0,200
538,-281.0,200
539,-254.0,200
540,-281.0,200
541,-326.0,200
542,-263.0,200
543,-263.0,200
544,-371.0,200
545,-32.0,44
546,-299.0,200
547,-326.0,200
548,-299.0,200
549,-290.0,200
550,-281.0,200
551,-272.0,200
552,-308.0,200
553,-290.0,200
554,-263.0,200
555,-272.0,200
556,-272.0,200
557,-326.0,200
558,-263.0,200
559,-317.0,200
560,-281.0,200
561,-245.0,200
562,-281.0,200
563,-263.0,200
564,-317.0,200
565,-281.0,200
566,-29.0,32
567,-263.0,200
568,-335.0,200
569,-245.0,200
570,-299.0,200
571,-299.0,200
572,-272.0,200
573,-227.0,200
574,-290.0,200
575,-254.0,200
576,-308.0,200
577,-263.0,200
578,-106.0,73
579,-272.0,200
580,-281.0,200
581,-290.0,200
582,-326.0,200
583,-263.0,200
584,-299.0,200
585,-263.0,200
586,-281.0,200
587,-272.0,200
588,-169.0,127
589,-214.0,190
590,-389.0,200
591,-272.0,200
592,-317.0,200
593,-254.0,200
594,-308.0,200
595,-290.0,200
596,-299.0,200
597,-272.0,200
