episode,return,steps
1,-470.0,200
2,-587.0,200
3,-524.0,200
4,-425.0,200
5,-569.0,200
6,-551.0,200
7,-515.0,200
8,-353.0,200
9,-398.0,200
10,-407.0,200
11,-470.0,200
12,-335.0,200
13,-324.0,183
14,-587.0,200
15,-560.0,200
16,-486.0,192
17,-236.0,200
18,-245.0,200
19,-254.0,200
20,-506.0,200
21,-560.0,200
22,-290.0,200
23,-335.0,200
24,-425.0,200
25,-281.0,200
26,-254.0,200
27,-281.0,200
28,-290.0,200
29,-263.0,200
30,-263.0,200
31,-515.0,200
32,-353.0,200
33,-245.0,200
34,-245.0,200
35,-290.0,200
36,-416.0,200
37,-605.0,200
38,-200.0,122
39,-290.0,200
40,-551.0,200
41,-245.0,200
42,-371.0,200
43,-227.0,200
44,-218.0,200
45,-425.0,200
46,-227.0,200
47,-343.0,184
48,-389.0,200
49,-389.0,200
50,-272.0,200
51,-281.0,200
52,-245.0,200
53,-254.0,200
54,-335.0,200
55,-326.0,200
56,-354.0,195
57,-218.0,200
58,-317.0,200
59,-245.0,200
60,-308.0,200
61,-245.0,200
62,-272.0,200
63,-389.0,200
64,-299.0,200
65,-171.0,120
66,-248.0,170
67,-308.0,200
68,-326.0,200
69,-353.0,200
70,-227.0,200
71,-114.0,63
72,-245.0,200
73,-245.0,200
74,-344.0,200
75,-299.0,200
76,-281.0,200
77,-263.0,200
78,-150.0,108
79,-326.0,200
80,-290.0,200
81,-278.0,182
82,-407.0,200
83,-299.0,200
84,-213.0,180
85,-290.0,200
86,-353.0,200
87,-425.0,200
88,-254.0,200
89,-263.0,200
90,-254.0,200
91,-245.0,200
92,-272.0,200
93,-308.0,200
94,-326.0,200
95,-371.0,200
96,-326.0,200
97,-281.0,200
98,-281.0,200
99,-335.0,200
100,-281.0,200
101,-353.0,200
102,-326.0,200
103,-308.0,200
104,-263.0,200
105,-407.0,200
106,-308.0,200
107,-263.0,200
108,-263.0,200
109,-245.0,200
110,-104.0,71
111,-153.0,120
112,-317.0,200
113,-326.0,200
114,-263.0,200
115,-281.0,200
116,-272.0,194
117,-281.0,200
118,-75.0,78
119,-13.0,34
120,-335.0,200
121,-380.0,200
122,-236.0,200
123,-326.0,200
124,-299.0,200
125,-281.0,200
126,-204.0,153
127,-308.0,200
128,-263.0,200
129,-281.0,200
130,-308.0,200
131,-308.0,200
132,-281.0,200
133,-263.0,200
134,-281.0,200
135,-272.0,200
136,-254.0,200
137,-308.0,200
138,-263.0,200
139,-117.0,93
140,-308.0,200
141,-371.0,200
142,-263.0,200
143,-227.0,200
144,-308.0,200
145,-317.0,200
146,-308.0,200
147,-245.0,200
148,-326.0,200
149,-317.0,185
150,-263.0,200
151,-236.0,200
152,-290.0,200
153,-281.0,200
154,-263.0,200
155,-308.0,200
156,-272.0,200
157,-335.0,200
158,-335.0,200
159,-254.0,200
160,-245.0,200
161,-353.0,200
162,-272.0,200
163,-299.0,200
164,-335.0,200
165,-272.0,200
166,-308.0,200
167,-97.0,91
168,-254.0,200
169,-299.0,200
170,-245.0,200
171,-245.0,200
172,-104.0,98
173,-120.0,78
174,-344.0,200
175,-272.0,200
176,-407.0,200
177,-254.0,200
178,-362.0,200
179,-299.0,200
180,-299.0,200
181,-245.0,200
182,-353.0,200
183,-281.0,200
184,-308.0,200
185,-236.0,200
186,-186.0,144
187,-245.0,200
188,-263.0,200
189,-326.0,200
190,-281.0,200
191,-281.0,200
192,-299.0,200
193,-272.0,200
194,-226.0,184
195,-290.0,200
196,-290.0,200
197,-263.0,200
198,-290.0,200
199,-227.0,200
200,-308.0,200
201,-335.0,200
202,-317.0,200
203,-103.0,97
204,-362.0,200
205,-317.0,200
206,-272.0,200
207,-281.0,200
208,-317.0,200
209,-272.0,200
210,-281.0,200
211,-335.0,200
212,-272.0,200
213,-272.0,200
214,-299.0,200
215,-299.0,200
216,-326.0,200
217,-290.0,200
218,-308.0,200
219,-261.0,183
220,-290.0,200
221,-326.0,200
222,-380.0,200
223,-245.0,200
224,-254.0,200
225,-299.0,200
226,-272.0,200
227,-113.0,80
228,-308.0,200
229,-281.0,200
230,-299.0,200
231,-120.0,87
232,-290.0,200
233,-236.0,200
234,-160.0,91
235,-40.0,43
236,-353.0,200
237,-139.0,97
238,-272.0,200
239,-299.0,200
240,-299.0,200
241,-236.0,200
242,-236.0,200
243,-263.0,200
244,-39.0,51
245,-272.0,200
246,-201.0,141
247,-335.0,200
248,-254.0,200
249,-308.0,200
250,-281.0,200
251,-308.0,200
252,-236.0,200
253,-317.0,200
