episode,return,steps
1,-506.0,200
2,-641.0,200
3,-542.0,200
4,-533.0,200
5,-596.0,200
6,-578.0,200
7,-569.0,200
8,-488.0,200
9,-515.0,200
10,-551.0,200
11,-560.0,200
12,-443.0,200
13,-398.0,200
14,-605.0,200
15,-569.0,200
16,-524.0,200
17,-380.0,200
18,-326.0,200
19,-515.0,200
20,-515.0,200
21,-524.0,200
22,-515.0,200
23,-434.0,200
24,-659.0,200
25,-425.0,200
26,-443.0,200
27,-371.0,200
28,-380.0,200
29,-371.0,200
30,-299.0,200
31,-614.0,200
32,-416.0,200
33,-371.0,200
34,-353.0,200
35,-371.0,200
36,-425.0,200
37,-587.0,200
38,-488.0,200
39,-191.0,140
40,-533.0,200
41,-389.0,200
42,-524.0,200
43,-425.0,200
44,-407.0,200
45,-371.0,200
46,-416.0,200
47,-389.0,200
48,-326.0,200
49,-461.0,200
50,-443.0,200
51,-551.0,200
52,-353.0,200
53,-362.0,200
54,-362.0,200
55,-479.0,200
56,-398.0,200
57,-416.0,200
58,-497.0,200
59,-315.0,120
60,-443.0,200
61,-317.0,200
62,-407.0,200
63,-283.0,187
64,-407.0,200
65,-434.0,200
66,-326.0,200
67,-407.0,200
68,-398.0,200
69,-398.0,200
70,-269.0,164
71,-407.0,200
72,-335.0,200
73,-371.0,200
74,-329.0,143
75,-61.0,46
76,-425.0,200
77,-166.0,88
78,-380.0,200
79,-452.0,200
80,-362.0,200
81,-72.0,48
82,-389.0,200
83,-389.0,200
84,-344.0,200
85,-416.0,200
86,-322.0,190
87,-406.0,175
88,-158.0,107
89,-362.0,200
90,-32.0,26
91,-398.0,200
92,-155.0,104
93,-353.0,200
94,-353.0,200
95,-353.0,200
96,-326.0,200
97,-333.0,165
98,-425.0,200
99,-344.0,200
100,-335.0,200
101,-158.0,116
102,-434.0,200
103,-389.0,200
104,-380.0,200
105,-147.0,78
106,-362.0,200
107,-443.0,200
108,-416.0,200
109,-228.0,141
110,-275.0,143
111,-300.0,177
112,-371.0,200
113,-353.0,200
114,-380.0,200
115,-434.0,200
116,-344.0,194
117,-416.0,200
118,-217.0,139
119,-278.0,137
120,-353.0,200
121,-371.0,200
122,-425.0,200
123,-371.0,200
124,-352.0,175
125,-425.0,200
126,-189.0,129
127,-371.0,200
128,-380.0,200
129,-317.0,200
130,-362.0,200
131,-37.0,40
132,-362.0,200
133,-416.0,200
134,-380.0,200
135,-344.0,200
136,-317.0,200
137,-417.0,195
138,-317.0,200
139,-380.0,200
140,-398.0,200
141,-199.0,130
142,-273.0,186
143,-251.0,128
144,-434.0,200
145,-371.0,200
146,-293.0,170
147,-233.0,155
148,-389.0,200
149,-353.0,200
150,-407.0,200
151,-416.0,200
152,-389.0,200
153,-380.0,200
154,-380.0,200
155,-488.0,200
156,-102.0,60
157,-308.0,200
158,-380.0,200
159,-380.0,200
160,-265.0,133
161,-210.0,114
162,-436.0,196
163,-353.0,200
164,-380.0,200
165,-288.0,138
166,-371.0,200
167,-8.0,11
168,-416.0,200
169,-271.0,157
170,-302.0,179
171,-70.0,46
172,-164.0,104
173,-398.0,200
174,-362.0,200
175,-380.0,200
176,-126.0,84
177,-335.0,200
178,-353.0,200
179,-380.0,200
180,-371.0,200
181,-195.0,135
182,-344.0,200
183,-398.0,200
184,-425.0,200
185,-242.0,119
186,-389.0,200
187,-117.0,84
188,-353.0,200
189,-80.0,56
190,-380.0,200
191,-351.0,183
192,-353.0,200
193,-281.0,176
194,-335.0,200
195,-191.0,122
196,-407.0,200
197,-353.0,200
198,-434.0,200
199,-126.0,84
200,-74.0,59
201,-258.0,135
202,-344.0,200
203,-70.0,73
204,-403.0,190
205,-434.0,200
206,-398.0,200
207,-353.0,200
208,-407.0,200
209,-50.0,62
210,-443.0,200
211,-389.0,200
212,-159.0,90
213,-266.0,161
214,-301.0,178
215,-90.0,66
216,-452.0,200
217,-167.0,116
218,-38.0,32
219,-167.0,107
220,-389.0,200
221,-326.0,200
222,-144.0,93
223,5.0,16
224,-149.0,80
225,-389.0,200
226,-74.0,68
227,-407.0,200
228,-353.0,200
229,-344.0,200
230,-291.0,168
231,-124.0,82
232,-296.0,155
233,-233.0,119
234,-373.0,196
235,1.0,11
236,-245.0,158
237,-116.0,83
238,-389.0,200
239,-317.0,200
240,10.0,11
241,-250.0,145
242,-398.0,200
243,-335.0,200
244,-115.0,55
245,-153.0,93
246,-234.0,138
247,-178.0,136
248,-173.0,104
249,-159.0,90
250,-326.0,200
251,-234.0,120
252,-389.0,200
253,-353.0,200
254,-246.0,132
255,-124.0,73
256,-353.0,200
257,-371.0,200
258,-325.0,184
259,-389.0,200
260,-407.0,200
261,-380.0,200
262,-235.0,175
263,-389.0,200
264,-53.0,38
265,-312.0,171
266,-331.0,190
267,-206.0,119
268,-298.0,175
269,-353.0,194
270,-123.0,72
271,-362.0,200
272,-281.0,200
273,-271.0,139
274,-416.0,200
275,-70.0,37
276,-74.0,59
277,-172.0,130
278,-407.0,200
279,-371.0,200
280,-272.0,149
281,-353.0,200
282,-362.0,200
283,-21.0,24
284,-344.0,200
285,-404.0,200
286,-380.0,200
287,-389.0,200
288,-195.0,135
289,-389.0,200
290,-220.0,151
291,-15.0,18
292,-245.0,167
293,-32.0,35
294,-295.0,181
295,-389.0,200
296,-144.0,84
297,-28.0,31
298,-53.0,47
299,-407.0,200
300,-200.0,113
301,-74.0,68
302,-70.0,64
303,-247.0,169
304,-260.0,155
305,-335.0,200
306,-488.0,200
307,-254.0,149
308,-279.0,147
309,-113.0,62
310,-362.0,200
311,-407.0,200
312,-320.0,161
313,-354.0,177
314,-169.0,109
315,-265.0,160
316,-86.0,62
317,-309.0,177
318,-17.0,29
319,-123.0,99
320,-97.0,73
321,-362.0,200
322,-158.0,89
323,-110.0,86
324,-71.0,29
325,-217.0,112
326,-160.0,118
327,-164.0,104
328,-211.0,115
329,-353.0,200
330,-371.0,200
331,-203.0,134
332,-302.0,161
333,-226.0,139
334,-206.0,146
335,-50.0,53
336,-88.0,55
337,-184.0,106
338,-380.0,200
339,-78.0,72
340,-434.0,200
341,-242.0,164
342,-407.0,200
343,-238.0,151
344,-177.0,108
345,-192.0,132
346,-407.0,200
347,-111.0,87
348,-35.0,20
349,-294.0,153
350,5.0,7
351,-303.0,189
352,-293.0,161
353,-14.0,17
354,-278.0,164
355,-174.0,114
356,-300.0,177
357,-55.0,40
358,-326.0,200
359,-44.0,47
360,-103.0,79
361,-251.0,128
362,-11.0,14
363,-172.0,94
364,-69.0,54
365,-138.0,87
366,-82.0,49
367,-340.0,172
368,-285.0,135
369,-407.0,200
370,-142.0,91
371,-67.0,52
372,8.0,13
373,-187.0,118
374,-416.0,200
375,-59.0,35
376,-2.0,14
377,-372.0,186
378,-24.0,45
379,-59.0,62
380,-108.0,66
381,-138.0,123
382,-65.0,50
383,-191.0,140
384,-188.0,119
385,-186.0,117
386,-416.0,200
387,-169.0,91
388,-242.0,164
389,-328.0,196
390,-270.0,138
391,-130.0,70
392,-167.0,116
393,-161.0,101
394,-134.0,101
