episode,return,steps
1,-470.0,200
2,-587.0,200
3,-524.0,200
4,-425.0,200
5,-569.0,200
6,-551.0,200
7,-515.0,200
8,-353.0,200
9,-398.0,200
10,-407.0,200
11,-470.0,200
12,-335.0,200
13,-324.0,183
14,-587.0,200
15,-560.0,200
16,-486.0,192
17,-236.0,200
18,-263.0,200
19,-254.0,200
20,-506.0,200
21,-560.0,200
22,-290.0,200
23,-335.0,200
24,-569.0,200
25,-299.0,200
26,-254.0,200
27,-114.0,108
28,-317.0,200
29,-275.0,152
30,-213.0,189
31,-551.0,200
32,-254.0,200
33,-245.0,200
34,-236.0,200
35,-245.0,200
36,-398.0,200
37,-542.0,200
38,-317.0,200
39,-272.0,200
40,-569.0,200
41,-245.0,200
42,-407.0,200
43,-236.0,200
44,-119.0,122
45,-193.0,196
46,-183.0,150
47,-218.0,200
48,-398.0,200
49,-308.0,200
50,-281.0,200
51,-254.0,200
52,-290.0,200
53,-236.0,200
54,-263.0,200
55,-353.0,200
56,-191.0,77
57,-131.0,125
58,-281.0,200
59,-218.0,200
60,-281.0,200
61,-114.0,117
62,-299.0,200
63,-263.0,200
64,-353.0,200
65,-62.0,65
66,-245.0,200
67,-362.0,200
68,-326.0,200
69,-416.0,200
70,-39.0,51
71,-254.0,200
72,-227.0,200
73,-236.0,200
74,-179.0,173
75,-187.0,145
76,-115.0,109
77,-335.0,200
78,-281.0,200
79,-180.0,138
80,-236.0,200
81,-151.0,118
82,-353.0,200
83,-344.0,200
84,-64.0,58
85,-13.0,25
86,-287.0,164
87,-362.0,167
88,-213.0,162
89,-154.0,121
90,-15.0,27
91,-335.0,200
92,-180.0,165
93,-241.0,172
94,-272.0,200
95,-227.0,200
96,-254.0,200
97,-180.0,165
98,-236.0,200
99,-190.0,175
100,-221.0,179
101,-27.0,39
102,-281.0,200
103,-245.0,200
104,-89.0,74
105,-362.0,200
106,-299.0,200
107,-344.0,200
108,-425.0,200
109,9.0,12
110,-150.0,126
111,-272.0,200
112,-82.0,58
113,-125.0,110
114,-335.0,200
115,-87.0,90
116,-231.0,189
117,-371.0,200
118,-276.0,180
119,-2.0,23
120,-315.0,183
121,-248.0,125
122,-258.0,126
123,-353.0,200
124,-129.0,114
125,-407.0,200
126,-61.0,46
127,-290.0,200
128,-135.0,102
129,-263.0,200
130,-237.0,195
131,-165.0,123
132,-118.0,112
133,-227.0,200
134,-51.0,63
135,-299.0,200
136,-326.0,200
137,-254.0,200
138,-281.0,200
139,-111.0,114
140,-117.0,111
141,-45.0,66
142,-35.0,29
143,-299.0,200
144,-132.0,117
145,-272.0,200
146,-255.0,186
147,-122.0,134
148,-308.0,200
149,-189.0,174
150,-116.0,101
151,-276.0,171
152,-263.0,200
153,-234.0,174
154,-197.0,191
155,-122.0,116
156,-108.0,84
157,-208.0,184
158,-120.0,105
159,-173.0,131
160,-29.0,41
161,-157.0,151
162,-143.0,137
163,-76.0,79
164,-170.0,173
165,-8.0,29
166,-154.0,157
167,9.0,12
168,-75.0,60
169,-145.0,112
170,-191.0,149
171,-161.0,137
172,-196.0,154
173,-109.0,121
174,-190.0,157
175,-201.0,177
176,-326.0,194
177,-240.0,198
178,-145.0,157
179,-207.0,165
180,-111.0,96
181,0.0,12
182,-168.0,135
183,-103.0,88
184,-111.0,105
185,-254.0,200
186,-184.0,178
187,-3.0,24
188,-104.0,98
189,-68.0,53
190,-203.0,179
191,-95.0,98
192,-99.0,93
193,-41.0,53
194,-24.0,45
195,-77.0,71
196,-200.0,176
197,-51.0,54
198,-158.0,107
199,-188.0,146
200,-100.0,85
201,-142.0,127
202,-101.0,86
203,-147.0,105
204,-254.0,200
205,-100.0,85
206,7.0,14
207,-183.0,123
208,-191.0,185
209,14.0,7
210,-272.0,200
211,-212.0,170
212,-156.0,132
213,12.0,9
214,-29.0,41
215,-38.0,50
216,-335.0,200
217,-90.0,75
218,-222.0,144
219,-120.0,78
220,-290.0,200
221,-137.0,104
222,7.0,14
223,-31.0,43
224,-129.0,123
225,-82.0,85
226,-50.0,44
227,-213.0,144
228,-116.0,110
229,-296.0,191
230,-92.0,68
231,-100.0,85
232,-59.0,71
233,-17.0,20
234,-212.0,170
235,15.0,6
236,-82.0,76
237,-129.0,105
238,-208.0,157
239,-5.0,17
240,2.0,19
241,-10.0,22
242,-254.0,200
243,-152.0,110
244,-18.0,30
245,-10.0,22
246,-13.0,34
247,-69.0,63
248,-109.0,94
249,-103.0,70
250,-5.0,26
251,-31.0,25
252,-53.0,56
253,-135.0,138
254,-202.0,106
