episode,return,steps
356,-380.0,200
357,-32.0,26
358,-94.0,61
359,-77.0,89
360,-217.0,157
361,-326.0,200
362,-2.0,14
363,-137.0,86
364,-80.0,74
365,-64.0,40
366,-187.0,118
367,-95.0,80
368,-39.0,51
369,-147.0,105
370,-111.0,69
371,-216.0,147
372,11.0,10
373,-29.0,32
374,-335.0,200
375,-9.0,30
376,-10.0,31
377,-178.0,136
378,-149.0,134
379,-88.0,55
380,-152.0,101
381,-92.0,68
382,-33.0,27
383,-353.0,200
384,-299.0,200
385,-143.0,101
386,-196.0,145
387,-317.0,200
388,-186.0,108
389,-99.0,84
390,-166.0,142
391,-63.0,57
392,-126.0,84
393,-257.0,188
394,-47.0,50
395,-88.0,100
396,-31.0,34
397,-93.0,78
398,-130.0,106
399,-89.0,83
400,3.0,9
401,-72.0,66
402,-169.0,145
403,-36.0,39
404,-88.0,73
405,-335.0,200
406,-259.0,172
407,-54.0,48
408,-154.0,103
409,-28.0,31
410,-119.0,77
411,5.0,16
412,-281.0,200
413,-88.0,82
414,-26.0,38
415,-150.0,117
416,-136.0,94
417,-89.0,74
418,-164.0,122
419,-120.0,105
420,-125.0,92
421,-62.0,56
422,-109.0,85
423,-36.0,30
424,-206.0,110
425,-98.0,83
426,-89.0,56
427,-224.0,164
428,-137.0,95
429,-47.0,32
430,-60.0,63
431,-5.0,17
432,-116.0,65
433,-15.0,18
434,-75.0,60
435,-118.0,76
436,-152.0,101
437,-281.0,200
438,-83.0,68
439,-73.0,94
440,-223.0,172
441,-111.0,87
442,-161.0,119
443,-243.0,165
444,-117.0,84
445,-52.0,37
446,-100.0,76
447,-306.0,165
448,-76.0,70
449,-119.0,86
450,-211.0,133
451,-299.0,200
452,-129.0,105
453,-59.0,44
454,-275.0,170
455,-38.0,32
456,-165.0,123
457,-44.0,29
458,-60.0,54
459,-272.0,185
460,0.0,12
461,11.0,10
462,-223.0,136
463,-166.0,97
464,1.0,20
465,-29.0,32
466,-344.0,200
467,-223.0,154
468,-17.0,11
469,-164.0,131
470,-198.0,174
471,4.0,8
472,-214.0,127
473,-102.0,87
474,-108.0,75
475,-124.0,91
476,-110.0,95
477,-49.0,61
478,-344.0,200
479,-174.0,123
480,-120.0,87
481,-119.0,95
482,-16.0,19
483,-33.0,45
484,-91.0,67
485,-20.0,23
486,-53.0,38
487,-157.0,106
488,-71.0,74
489,-14.0,26
490,-174.0,114
491,-67.0,43
492,-129.0,78
493,-11.0,23
494,-326.0,200
495,3.0,9
496,-72.0,84
497,-57.0,60
498,-152.0,92
499,-74.0,50
500,-86.0,71
501,-74.0,50
502,-66.0,42
503,-66.0,69
504,-143.0,83
505,-44.0,65
506,-127.0,85
507,-55.0,49
508,-147.0,96
509,-182.0,122
510,-85.0,70
511,-326.0,200
512,-184.0,142
513,-33.0,18
514,-145.0,94
515,-55.0,58
516,-127.0,85
517,-109.0,76
518,7.0,14
519,-46.0,40
520,-41.0,53
521,-110.0,77
522,-148.0,97
523,4.0,17
524,-70.0,64
525,-55.0,58
526,-99.0,84
527,-2.0,14
528,-39.0,33
529,-86.0,62
530,-70.0,46
531,-3.0,15
532,-170.0,119
533,-199.0,130
534,-46.0,58
535,-151.0,100
536,-21.0,24
537,-79.0,73
538,-185.0,125
539,12.0,9
540,-92.0,86
541,-77.0,44
542,-169.0,109
543,-163.0,112
544,-128.0,104
545,-9.0,12
546,-29.0,41
547,8.0,13
548,-1.0,22
549,-1.0,13
550,8.0,13
551,-128.0,95
552,-50.0,44
553,-115.0,100
554,-161.0,128
555,-87.0,72
556,11.0,10
557,-95.0,89
558,-79.0,64
559,-249.0,153
560,-6.0,18
561,-155.0,104
562,-21.0,33
563,-46.0,49
564,-71.0,47
565,-104.0,80
566,-12.0,24
567,-73.0,58
568,-224.0,173
569,-189.0,156
570,-173.0,104
571,-20.0,41
572,-158.0,107
573,-93.0,69
574,11.0,10
575,-38.0,41
576,-85.0,79
577,8.0,13
578,-35.0,29
579,-60.0,45
580,-68.0,53
581,-217.0,184
582,3.0,9
583,-80.0,65
584,-162.0,120
585,-138.0,96
586,-8.0,29
587,-62.0,47
588,-133.0,118
589,-9.0,21
590,-53.0,38
591,-107.0,110
592,-26.0,29
593,-296.0,191
594,-24.0,36
595,-65.0,32
596,-74.0,68
597,-121.0,79
598,-84.0,69
599,7.0,14
600,-22.0,34
601,-56.0,50
602,-24.0,18
603,-25.0,37
604,-229.0,169
605,-121.0,106
606,-3.0,24
607,-196.0,118
608,-29.0,32
609,-123.0,90
610,-99.0,66
611,-6.0,18
612,-284.0,170
613,-82.0,67
614,-131.0,107
615,-1.0,13
616,-151.0,127
617,13.0,8
618,-158.0,98
619,-60.0,54
620,-49.0,52
621,-1.0,13
622,-190.0,121
623,-50.0,44
624,-104.0,98
625,-15.0,36
626,-62.0,65
627,-5.0,17
628,-115.0,100
629,-11.0,32
630,-39.0,51
631,-9.0,30
632,12.0,9
633,-137.0,86
634,-203.0,161
635,-33.0,45
636,-296.0,182
637,-10.0,22
638,-31.0,34
639,-229.0,124
640,1.0,11
641,-12.0,15
642,-282.0,150
643,13.0,8
644,-105.0,81
645,10.0,11
646,-44.0,38
647,10.0,11
648,-22.0,25
649,-7.0,19
650,-8.0,29
651,-33.0,36
652,-34.0,28
653,-12.0,15
654,-96.0,72
655,-253.0,166
656,-16.0,28
657,-44.0,38
658,-362.0,200
659,-43.0,55
660,-206.0,119
661,-50.0,53
662,-2.0,14
663,-19.0,22
664,-130.0,97
665,-9.0,21
666,-9.0,30
667,-143.0,92
668,-28.0,31
669,-115.0,55
670,4.0,17
671,0.0,12
672,-54.0,57
673,8.0,13
674,-69.0,54
675,-50.0,44
676,-2.0,14
677,-50.0,53
